title,datestamp,content_html,title_welsh,datestamp_welsh,content_html_welsh
Updated testing strategy,2021-03-29T23:00:00Z,"<p>The Welsh Government publishes its <a href=""https://gov.wales/covid-19-testing-strategy""><strong>updated COVID-19 testing strategy</strong></a>, which was first published in July 2020. The update sets out how new testing technology will work alongside existing infrastructure with five priorities for testing.</p>",Strategaeth brofi wedi'i diweddaru,2021-03-29T23:00:00Z,"<p>Llywodraeth Cymru sy’n cyhoeddi ei <a href=""https://llyw.cymru/strategaeth-profi-covid-19?_ga=2.256614091.1935975037.1620895709-243699285.1618817423""><strong><u>strategaeth brofi COVID-19 wedi'i diweddaru</u></strong></a>, a gyhoeddwyd gyntaf ym mis Gorffennaf 2020. Mae'r diweddariad yn nodi sut y bydd technoleg profi newydd yn gweithio ochr yn ochr â'r seilwaith presennol, gyda phum blaenoriaeth at ddibenion profi.</p>"
Stay local restrictions lifted,2021-03-25T00:00:00Z,"<p>The First Minister, Mark Drakeford announces that from Saturday 27 March the <a href=""https://gov.wales/wales-tourism-sector-starts-re-open-restrictions-are-relaxed"">stay local restrictions will be lifted</a>. From this date self-contained accommodation and libraries can re-open, outdoor children’s activities can take place and six people from households can meet outdoors.</p>",Cyfyngiadau aros yn lleol wedi’u codi,2021-03-25T00:00:00Z,"<p>Mae Mark Drakeford, y Prif Weinidog, yn cyhoeddi y <a href=""https://llyw.cymru/sector-twristiaeth-cymru-yn-dechrau-ailagor-wrth-i-gyfyngiadau-gael-eu-llacio"">bydd y cyfyngiadau aros yn lleol yn cael eu codi</a> o ddydd Sadwrn 27 Mawrth. O'r dyddiad hwn, gall llety hunangynhwysol a llyfrgelloedd ailagor, gellir cynnal gweithgareddau awyr agored i blant a gall chwech o bobl o ddwy aelwyd wahanol gyfarfod yn yr awyr agored.</p>"
Updated vaccination strategy,2021-03-23T00:00:00Z,"<p>The Welsh Government publishes an <a href=""https://gov.wales/covid-19-vaccination-strategy-update-march-2021"">update to its Vaccination Strategy for Wales</a> which sets out the current status of the rollout and the next steps. The Government’s third milestone is to offer the first dose of a vaccine to those aged 18-49 by the end of July.</p>",Strategaeth frechu wedi'i diweddaru,2021-03-23T00:00:00Z,"<p>Mae Llywodraeth Cymru yn cyhoeddi <a href=""https://llyw.cymru/diweddariad-strategaeth-brechu-covid-19-mawrth-2021"">diweddariad i'w Strategaeth Frechu</a> sy'n nodi statws presennol y rhaglen frechu a'r camau nesaf. Trydedd garreg filltir y Llywodraeth yw cynnig y dos cyntaf o frechlyn i'r rhai 18-49 oed erbyn diwedd mis Gorffennaf.</p>"
Strategy to address inequality in vaccine uptake,2021-03-23T00:00:00Z,"<p>The Welsh Government publishes a <a href=""https://gov.wales/covid-19-vaccination-equity-strategy"">COVID-19 vaccination equity strategy</a> which sets out that a new Vaccine Equity Committee will ensure the equitable and fair delivery of the vaccination programme. The Committee will take a community led approach to address specific concerns and barriers to vaccination.</p>",Strategaeth i fynd i'r afael ag anghydraddoldeb o ran cael brechlyn,2021-03-23T00:00:00Z,"<p>Mae Llywodraeth Cymru yn cyhoeddi <a href=""https://llyw.cymru/covid-19-strategaeth-brechu-teg-i-gymru"">COVID-19: Strategaeth brechu teg i Gymru</a> sy'n nodi y bydd Pwyllgor Brechu Teg newydd yn sicrhau y caiff y rhaglen frechu ei darparu'n gyfiawn ac yn deg. Bydd y Pwyllgor yn dilyn trywydd a arweinir gan y gymuned i fynd i'r afael â’r pryderon a'r rhwystrau penodol sydd ynghlwm wrth frechu.</p>"
National coronavirus Commemorative event,2021-03-23T00:00:00Z,"<p><a href=""https://gov.wales/national-coronavirus-commemorative-event"">The First Minister, Mark Drakeford,</a> takes part in a national coronavirus commemorative event to pay respect to those who have died during the pandemic and to express sympathy to those grieving for loved ones. A minute silence is held to remember those who have died over the last year.</p>",Digwyddiad Coffa Cenedlaethol y Coronafeirws,2021-03-23T00:00:00Z,"<p>Mae <a href=""https://llyw.cymru/digwyddiad-coffa-cenedlaethol-y-coronafeirws"">Mark Drakeford, y Prif Weinidog,</a> yn cymryd rhan yn nigwyddiad coffa cenedlaethol y coronafeirws i dalu teyrnged i'r rhai sydd wedi marw yn ystod y pandemig ac i gydymdeimlo â’r rhai sy’n galaru am eu hanwyliaid. Cynhelir munud o dawelwch i gofio’r rhai sydd wedi marw dros y flwyddyn ddiwethaf.</p>"
Community testing programme extended,2021-03-22T00:00:00Z,"<p><a href=""https://gov.wales/community-testing-programme-extended-manage-outbreaks"">Health Minister, Vaughan Gething, announces</a> that the COVID-19 community testing programme will be extended to the end of September 2021 to help manage outbreaks and target areas that see a rapid increase in cases. Asymptomatic testing has been taking place in Bridgend, Merthyr Tydfil and Rhondda Cynon Taf since the beginning of March 2021, with plans also progressing in Anglesey in response to an outbreak in Holyhead.</p>",Ymestyn y rhaglen profi cymunedol,2021-03-22T00:00:00Z,"<p>Mae <a href=""https://llyw.cymru/ymestyn-y-rhaglen-profi-cymunedol-i-reoli-brigiadau-o-achosion"">Vaughan Gething, y Gweinidog Iechyd, yn cyhoeddi</a> y bydd rhaglen profi cymunedol COVID-19 yn cael ei hymestyn hyd ddiwedd mis Medi 2021 i helpu i reoli brigiadau o achosion a thargedu ardaloedd sy'n gweld cynnydd cyflym mewn achosion. Mae profion wedi’u cynnal ar gyfer unigolion asymptomatig ym Mhen-y-bont ar Ogwr, Merthyr Tudful a Rhondda Cynon Taf ers dechrau mis Mawrth ac mae cynlluniau hefyd ar y gweill yn Ynys Môn mewn ymateb i’r brigiad o achosion yng Nghaergybi.</p>"
COVID-secure Senedd election,2021-03-22T00:00:00Z,"<p><a href=""https://gov.wales/funding-to-ensure-covid-secure-senedd-election"">Minister for Housing and Local Government, Julie James, announces</a> that the Welsh Government is making £1.5 million available to enable polling stations for the Senedd election to be made Covid-secure. The additional funding is being provided to cover the range of extra staff and equipment required to ensure the protection of staff and public health.</p>",Etholiad Senedd diogel o ran COVID,2021-03-22T00:00:00Z,"<p>Mae <a href=""https://llyw.cymru/cyllid-i-sicrhau-etholiad-senedd-diogel-o-ran-covid"">Julie James, y Gweinidog Tai a Llywodraeth Leol, yn cyhoeddi</a> bod Llywodraeth Cymru yn rhyddhau £1.5m i alluogi gwneud gorsafoedd pleidleisio ar gyfer etholiad y Senedd yn ddiogel o ran COVID. Mae’r cyllid ychwanegol yn cael ei ddarparu i sicrhau’r staff a’r offer ychwanegol sydd eu hangen er mwyn diogelu iechyd staff a’r cyhoedd.</p>"
Recovery plan for health and social care services,2021-03-22T00:00:00Z,"<p>The Health Minister, Vaughan Gething, publishes a <a href=""https://gov.wales/health-and-care-services-pandemic-recovery-plan-published"">recovery plan</a> which is supported by £100 million in funding to help health and social care services in Wales to recover from the pandemic. The plan includes key aspects such as reducing health inequalities, creating supportive mental health services and providing accessible digital support.</p>",Cynllun adfer ar gyfer gwasanaethau iechyd a gofal cymdeithasol,2021-03-22T00:00:00Z,"<p>Vaughan Gething, y Gweinidog Iechyd, yn cyhoeddi <a href=""https://llyw.cymru/cyhoeddi-cynllun-y-gwasanaethau-iechyd-gofal-i-adfer-ar-ol-y-pandemig"">cynllun adfer</a>, sydd â £100 miliwn o gyllid y tu ôl iddo, i gefnogi adferiad gwasanaethau iechyd a gofal cymdeithasol yng Nghymru ar ôl y pandemig. Mae’r cynllun yn trafod materion allweddol fel lleihau anghydraddoldebau iechyd, sefydlu gwasanaethau iechyd meddwl cefnogol a chynnig cymorth digidol hygyrch.</p>"
Updated coronavirus control plan,2021-03-19T00:00:00Z,"<p>The Welsh Government publishes an <a href=""https://gov.wales/coronavirus-control-plan-revised-alert-levels-wales-march-2021"">update to its coronavirus control plan</a> which takes into account the vaccination programme and the “Kent variant of the virus”. The plan sets out how Wales will move from alert level 4 to alert level 3 from now until 22 April 2021.</p>",Cynllun rheoli’r coronafeirws wedi’i ddiweddaru,2021-03-19T00:00:00Z,"<p>Llywodraeth Cymru yn cyhoeddi fersiwn ddiweddaraf ei <a href=""https://gov.wales/coronavirus-control-plan-revised-alert-levels-wales-march-2021"">chynllun rheoli’r coronafeirws</a>, sy’n cynnwys gwybodaeth am y rhaglen frechu a straen newydd Caint. Mae’r cynllun yn nodi sut y bydd Cymru yn symud o lefel rhybudd 4 i lefel rhybudd 3 yn y cyfnod hyd at 22 Ebrill 2021.</p>"
Bonus payment for NHS and social care staff,2021-03-17T00:00:00Z,"<p><a href=""https://gov.wales/nhs-and-social-care-staff-benefit-bonus-payment"">Health Minister, Vaughan Gething, announces</a> that the Welsh Government will fund a bonus payment for NHS and social care staff to recognise their contribution during the COVID-19 pandemic. The one-off payment is equivalent to £735 per person, to cover the basic rate of tax and national insurance contributions incurred. After deductions most people will receive £500.</p>",Taliad bonws i staff y GIG a staff gofal cymdeithasol,2021-03-17T00:00:00Z,"<p><a href=""https://gov.wales/nhs-and-social-care-staff-benefit-bonus-payment"">Vaughan Gething, y</a> <a href=""https://llyw.cymru/taliad-bonws-i-staff-y-gwasanaeth-iechyd-gofal-cymdeithasol"">Gweinidog</a> Iechyd, yn cyhoeddi y bydd Llywodraeth Cymru yn cyllido taliad bonws i staff y GIG a staff gofal cymdeithasol i gydnabod eu cyfraniad yn ystod y pandemig COVID-19. Bydd y taliad untro hwn yn cyfateb i £735 y pen, i dalu am y gyfradd dreth sylfaenol a chyfraniadau yswiriant gwladol. Ar ôl didyniadau bydd y rhan fwyaf o bobl yn derbyn £500.</p>"
Commemorative woodlands to be created,2021-03-16T00:00:00Z,"<p><a href=""https://gov.wales/first-minister-announces-commemorative-woodlands"">First Minister, Mark Drakeford, announces</a> the creation of commemorative woodlands in memory of those who have died from coronavirus. Two new woodlands will be planted, one in north Wales and one in south Wales. It is hoped they will be places of commemoration where families and friends can remember lost loved ones and where the public can reflect on the pandemic.</p>",Creu coedlannau coffa,2021-03-16T00:00:00Z,"<p><a href=""https://llyw.cymru/y-prif-weinidog-yn-cyhoeddi-coedlannau-coffa"">Mark Drakeford, Prif Weinidog Cymru, yn cyhoeddi</a> y bydd coedlannau coffa yn cael eu creu er cof am y bobl sydd wedi marw o’r coronafeirws. Bydd dwy goedlan yn cael eu creu, un yng ngogledd Cymru a’r llall yn y de. Y gobaith yw y gall teuluoedd a ffrindiau fynd iddynt i gofio am eu hanwyliaid a fu farw. Bydd y coedlannau hefyd yn rhywle i’r cyhoedd fyfyrio ar y pandemig a’i effaith.</p>"
Change to shielding advice,2021-03-12T00:00:00Z,"<p><a href=""https://gov.wales/written-statement-advice-those-who-are-clinically-extremely-vulnerable-01-april"">Wales’ Health Minister announces</a> that on the recommendation of the Chief Medical Officer, the advice to the clinically extremely vulnerable to follow shielding measures should be paused from 1 April 2021.</p>",Newid y cyngor ynghylch gwarchod,2021-03-12T00:00:00Z,"<p><a href=""https://llyw.cymru/datganiad-ysgrifenedig-y-cyngor-ir-rheini-syn-eithriadol-o-agored-i-niwed-yn-glinigol-o-1-ebrill"">Gweinidog Iechyd Cymru yn cyhoeddi</a> y dylid cael saib, yn dilyn argymhelliad y Prif Swyddog Meddygol, o ran y cyngor i’r rheini sy'n eithriadol o agored i niwed yn glinigol ddilyn mesurau gwarchod, a hynny o 1 Ebrill 2021.  </p>"
Extra support for business in Wales,2021-03-12T00:00:00Z,"<p><a href=""https://gov.wales/extra-150-million-support-businesses-wales"">Minister for Economy, Transport and North Wales, Ken Skates, announces</a> a further £150 million has been made available to support Welsh businesses to deal with the continued impact of the coronavirus pandemic. The additional support will help businesses in the hospitality, tourism, leisure and non-essential retail sectors that pay non-domestic rates and will operate as a top up to the Restrictions Business Fund.</p>",Cymorth ychwanegol i fusnesau yng Nghymru,2021-03-12T00:00:00Z,"<p><a href=""https://llyw.cymru/150-miliwn-ychwanegol-i-gefnogi-busnesau-yng-nghymru"">Ken Skates, Gweinidog yr Economi Trafnidiaeth a Gogledd Cymru, yn cyhoeddi</a> bod £150 miliwn ychwanegol ar gael i gefnogi busnesau yng Nghymru wrth iddynt ymdopi ag effaith barhaus pandemig y coronafeirws.  Bydd y cymorth ychwanegol yn helpu busnesau sy'n gweithredu yn y sectorau twristiaeth, hamdden a manwerthu nad yw’n hanfodol sy’n talu ardrethi annomestig, a bydd yn ychwanegiad i’r Gronfa i Fusnesau dan Gyfyngiadau.</p>"
First steps out of lockdown in Wales announced,2021-03-12T00:00:00Z,"<p><a href=""https://gov.wales/stay-local-wales-takes-first-steps-out-of-lockdown"">First Minister, Mark Drakeford, announces</a> that <strong>from 13 March 2021</strong>, the stay-at-home restrictions will be replaced by a new interim stay local rule in Wales, meaning people can leave their homes and travel within their local area, usually within 5 miles (with some flexibility). Also from 13 March, up to 4 people from 2 households can meet in their local area outdoors, including in gardens (children under 11 and carers do not count towards this limit); outdoor sports facilities can reopen (a maximum of 4 people from 2 households), and indoor care home visits can resume for one designated visitor.</p>
<p><strong>From 15 March 2021</strong>, hairdressers and barbers can reopen by appointment only. All primary pupils and those in qualifications years will return to school. Schools will have the flexibility to bring in year 10 and 12 pupils and more learners will return to colleges. There is also flexibility for in-school check-ins for all other pupils. All learners will return to on-site learning on <strong>12 April 2021</strong>.</p>
<p><strong>From 22 March 2021</strong>, restrictions on the sale of non-essential items will be lifted for those shops which are currently open. Garden centres will also reopen.</p>
<p>If the public health conditions continue to be favourable, <strong>from 27 March 2021</strong>, the stay local restrictions will be lifted to allow people to travel within Wales; self-contained holiday accommodation will re-open for one household; organised children’s activities outdoors will restart, and libraries will reopen.</p>
<p>The review on 1 April 2021 will consider whether all remaining shops and close contact services can reopen on <strong>12 April 2021</strong></p>",Cymru yn cymryd y camau cyntaf i lacio’r cyfyngiadau symud,2021-03-12T00:00:00Z,"<p><a href=""https://llyw.cymru/aros-yn-lleol-cymru-yn-cymryd-y-camau-cyntaf-i-lacior-cyfyngiadau-symud"">Mark Drakeford, y Prif Weinidog, yn cyhoeddi</a> y bydd rheol interim newydd i aros yn lleol yn cymryd lle’r cyfyngiadau aros gartref <strong>o 13 Mawrth 2021</strong>, sy'n golygu y caiff pobl adael eu cartrefi a theithio yn eu hardaloedd lleol, fel arfer o fewn 5 milltir (gyda rhywfaint o hyblygrwydd). Hefyd o 13 Mawrth, caiff hyd at 4 person o 2 aelwyd gwrdd yn eu hardal leol yn yr awyr agored, gan gynnwys mewn gerddi (nid yw’r terfyn hwn yn cynnwys plant dan 11 oed na gofalwyr); caiff cyfleusterau chwaraeon awyr agored ailagor (uchafswm o 4 person o 2 aelwyd), a chaiff ymweliadau dan do â chartrefi gofal ailddechrau ar gyfer un ymwelydd dynodedig.</p>
<p><strong>O 15 Mawrth 2021</strong>, caiff siopau trin gwallt a siopau barbwr ailagor ar gyfer apwyntiadau yn unig. Bydd pob disgybl cynradd a'r rheini sy’n astudio ar gyfer cymwysterau yn dychwelyd i'r ysgol. Bydd gan ysgolion yr hyblygrwydd i ddod â disgyblion blwyddyn 10 a blwyddyn 12 yn eu hôl, a bydd mwy o ddysgwyr yn dychwelyd i golegau. Bydd hyblygrwydd hefyd i ysgolion gynnal sesiynau ailgydio ar gyfer pob disgybl arall. Bydd pob dysgwr yn dychwelyd i ddysgu ar y safle ar <strong>12 Ebrill 2021</strong>.</p>
<p><strong>O 22 Mawrth 2021</strong>, bydd cyfyngiadau ar werthu eitemau nad ydynt yn hanfodol yn cael eu codi ar gyfer y siopau hynny sydd ar agor ar hyn o bryd. Bydd canolfannau garddio hefyd yn ailagor.</p>
<p>Os bydd yr amodau iechyd cyhoeddus yn parhau i fod yn ffafriol, <strong>o 27 Mawrth 2021</strong>, bydd y cyfyngiadau aros yn lleol yn cael eu codi i ganiatáu i bobl deithio yng Nghymru; bydd llety gwyliau hunangynhwysol yn ailagor ar gyfer un aelwyd; bydd gweithgareddau wedi'u trefnu yn yr awyr agored ar gyfer plant yn cael ailddechrau; a bydd llyfrgelloedd yn ailagor.</p>
<p>Wrth gynnal yr adolygiad ar 1 Ebrill 2021, ystyrir a oes modd ailagor yr holl siopau sy’n weddill a gwasanaethau cyswllt agos ar <strong>12 Ebrill 2021</strong>. </p>"
Covid-19 vaccine for homeless people,2021-03-10T00:00:00Z,"<p><a href=""https://gov.wales/people-experiencing-homelessness-be-prioritised-covid-vaccine"">Health Minister, Vaughan Gething, announces</a> that people who are or have recently experienced homelessness in Wales are to be offered a COVID-19 vaccination as part of priority group 6.</p>",Brechlyn COVID-19 ar gyfer pobl ddigartref,2021-03-10T00:00:00Z,"<p><a href=""https://llyw.cymru/pobl-syn-ddigartref-i-gael-eu-blaenoriaethu-ar-gyfer-brechlyn-covid"">Vaughan Gething, y Gweinidog Iechyd, yn cyhoeddi</a> y bydd pobl ddigartref a phobl sydd wedi bod yn ddigartref yn ddiweddar yng Nghymru yn cael cynnig brechlyn COVID-19 fel rhan o grŵp blaenoriaeth 6.   </p>"
